key,en,zh_CN,pt_BR,hi,id,fil,zh_TW,ru,ja,de,fr,ko,pt,es,az,be,hr,cs,da,ar_EG,fi,el,hu,fa,he,it,ar_LB,lt,ms,ar_MA,nl_NL,nb,ar_OM,en_PH,pl,ro,ar_SA,sk,sv,th,ar_TN,tr,uk,ar_AE,uz,vi,af,am,bn,bs,ca,es_ES,es_MX,es_US,fr_CA,gu,is,kk,km,kn,lo,mk,ml,mn,mr,ne,pa,pt_PT,si,sl,sr,sw,ta,te,ur
PUSH_NOON_BODY_12,Did you remember me today? 💛,今天还记得我吗？💛,Lembrou de mim hoje? 💛,आज मुझे याद किया? 💛,Ingat aku hari ini? 💛,Naalala mo ba ako today? 💛,今天有想到我嗎? 💛,Помнил обо мне сегодня? 💛,今日、私のこと思い出した? 💛,Hast du heute an mich gedacht? 💛,Tu t'es souvenu de moi aujourd'hui ? 💛,오늘 내 생각했어? 💛,Lembrou de mim hoje? 💛,¿Te acordaste de mí hoy? 💛,Bu gün məni xatırladın? 💛,Памятаў пра мяне? 💛,Jesi me se sjetio danas? 💛,Vzpomněl sis na mě dnes? 💛,Huskede du mig i dag? 💛,تذكرتني اليوم؟ 💛,Muistitko minut tänään? 💛,Με θυμήθηκες σήμερα; 💛,Emlékeztél ma rám? 💛,امروز یادت بود؟ 💛,זכרת אותי היום? 💛,Ti sei ricordato di me oggi? 💛,تذكرتني اليوم؟ 💛,Šiandien mane prisiminei? 💛,Ingat saya hari ni? 💛,تذكرتني اليوم؟ 💛,Dacht je vandaag aan mij? 💛,Husket du meg i dag? 💛,تذكرتني اليوم؟ 💛,Naalala mo ako today? 💛,Pamiętałeś o mnie dziś? 💛,Ți-ai amintit de mine azi? 💛,تذكرتني اليوم؟ 💛,Spomenul si si na mňa dnes? 💛,Tänkte du på mig idag? 💛,นึกถึงฉันบ้างมั้ย? 💛,تذكرتني اليوم؟ 💛,Bugün beni hatırladın mı? 💛,Пам'ятав про мене? 💛,تذكرتني اليوم؟ 💛,Bugun meni esladingmi? 💛,Hôm nay có nhớ tớ không? 💛,Het jy aan my gedink vandag? 💛,ዛሬ አስታወስከኝ? 💛,আজ আমায় মনে রেখেছ? 💛,Jesi me se sjetio danas? 💛,Te n'has recordat de mi avui? 💛,¿Te acordaste de mí hoy? 💛,¿Te acordaste de mí hoy? 💛,¿Te acordaste de mí hoy? 💛,Tu t'es souvenu de moi aujourd'hui ? 💛,આજે મને યાદ કર્યો? 💛,Manstu eftir mér í dag? 💛,Бүгін мені есіңе алдың ба? 💛,នឹកខ្ញុំថ្ងៃនេះទេ? 💛,ಇಂದು ನನ್ನನ್ನು ನೆನಪಿಸಿಕೊಂಡಿರಾ? 💛,ນຶກເຖິງຂ້ອຍມື້ນີ້ບໍ? 💛,Се сети ли на мене денес? 💛,ഇന്ന് എന്നെ ഓർത്തോ? 💛,Өнөөдөр намайг санасан уу? 💛,आज माझी आठवण आली का? 💛,आज मलाई सम्झियौ? 💛,ਅੱਜ ਮੈਨੂੰ ਯਾਦ ਕੀਤਾ? 💛,Lembrou de mim hoje? 💛,අද මාව මතක් වුණාද? 💛,Se me danes spomniš? 💛,Сетио си ме се данас? 💛,Umenikumbuka leo? 💛,இன்று என்னை நினைவில் வைத்தாயா? 💛,ఈరోజు నన్ను గుర్తు పెట్టుకున్నావా? 💛,آج مجھے یاد کیا؟ 💛
PUSH_EVE_TITLE_70,🐱 Pillow fort built!,🐱 枕头堡垒搭好了！,🐱 Fortinho de travesseiros pronto!,🐱 तकिए का किला तैयार!,🐱 Benteng bantal jadi!,🐱 Pillow fort gawa na!,🐱 枕頭堡壘蓋好了!,🐱 Крепость из подушек!,🐱 枕の要塞完成!,🐱 Kissenfestung steht!,🐱 Fort d'oreillers prêt !,🐱 베개 요새 완성!,🐱 Fortinho de travesseiros pronto!,🐱 ¡Fuerte de almohadas listo!,🐱 Yastıq qalası tikildi!,🐱 Крэпасць з падушак!,🐱 Tvrđava od jastuka spremna!,🐱 Polštářová pevnost je tu!,🐱 Pudefort bygget!,🐱 حصن الوسائد جاهز!,🐱 Tyynylinna rakennettu!,🐱 Φρούριο μαξιλαριών έτοιμο!,🐱 Párnaerőd kész!,🐱 قلعه بالش ساخته شد!,🐱 מבצר כריות בנוי!,🐱 Fortino di cuscini pronto!,🐱 حصن الوسائد جاهز!,🐱 Pagalvių tvirtovė pastatyta!,🐱 Kubu bantal dibina!,🐱 حصن الوسائد جاهز!,🐱 Kussenfort gebouwd!,🐱 Putefort bygd!,🐱 حصن الوسائد جاهز!,🐱 Pillow fort built!,🐱 Forteca z poduszek!,🐱 Fortul de perne e gata!,🐱 حصن الوسائد جاهز!,🐱 Vankúšová pevnosť je tu!,🐱 Kuddfort byggt!,🐱 ป้อมหมอนสร้างแล้ว!,🐱 حصن الوسائد جاهز!,🐱 Yastık kalesi kuruldu!,🐱 Фортеця з подушок!,🐱 حصن الوسائد جاهز!,🐱 Yostiq qal'a qurildi!,🐱 Pháo đài gối đã dựng!,🐱 Kussingfort gebou!,🐱 የትራስ ምሽግ ተገነባ!,🐱 বালিশের দুর্গ তৈরি!,🐱 Tvrđava od jastuka spremna!,🐱 Fortalesa de coixins a punt!,🐱 ¡Fuerte de almohadas listo!,🐱 ¡Fuerte de almohadas listo!,🐱 ¡Fuerte de almohadas listo!,🐱 Fort d'oreillers prêt !,🐱 ઓશીકાનો કિલ્લો તૈયાર!,🐱 Púðavirki byggt!,🐱 Жастық қамал тұрғызылды!,🐱 បន្ទាយខ្នើយសាង!,🐱 ದಿಂಬಿನ ಕೋಟೆ ಕಟ್ಟಿದೆ!,🐱 ປ້ອມໝອນສ້າງ!,🐱 Тврдина од перници готова!,🐱 തലയിണ കോട്ട തയ്യാർ!,🐱 Дэрний цайз барьсан!,🐱 उशीचा किल्ला बांधला!,🐱 तकिया किल्ला बनाएँ!,🐱 ਸਿਰਹਾਣੇ ਦਾ ਕਿਲਾ ਬਣਾਇਆ!,🐱 Fortinho de travesseiros pronto!,🐱 කොට්ට කොටුව හැදුවා!,🐱 Trdnjava iz blazin pripravljena!,🐱 Утврђење од јастука готово!,🐱 Ngome ya mto imejengwa!,🐱 தலையணை கோட்டை கட்டப்பட்டது!,🐱 పిల్లో ఫోర్ట్ నిర్మించబడింది!,🐱 تکیہ قلعہ بن گیا!
PUSH_NOON_BODY_15,Solve with me instead 🧩,不如陪我解道谜题🧩,Melhor resolver comigo 🧩,मेरे साथ हल करो 🧩,Main bareng aku saja 🧩,Maglaro sa'kin 🧩,陪我解一題吧 🧩,Лучше реши со мной 🧩,代わりに1問解こ 🧩,Löse stattdessen mit mir 🧩,Résous avec moi plutôt 🧩,대신 한 문제 풀자 🧩,Melhor resolver comigo 🧩,Mejor resuelve conmigo 🧩,Əvəzində mənimlə həll et 🧩,Лепш развязвай са мной 🧩,Riješi sa mnom umjesto toga 🧩,Vyřeš se mnou místo toho 🧩,Løs med mig i stedet 🧩,حل معايا بدلاً منه 🧩,Ratkaise kanssani sen sijaan 🧩,Λύσε μαζί μου αντί γι' αυτό 🧩,Oldj meg velem helyette 🧩,به جاش با من حل کن 🧩,פתור איתי במקום 🧩,"Risolvi con me, piuttosto 🧩",حل معي بدلاً منه 🧩,Spręsk su manimi vietoj to 🧩,Main dengan saya sebaliknya 🧩,حل معي بدلاً منه 🧩,Los liever op met mij 🧩,Løs med meg i stedet 🧩,حل معي بدلاً منه 🧩,Solve with me instead 🧩,Rozwiąż ze mną zamiast tego 🧩,Mai bine rezolvă cu mine 🧩,حل معي بدلاً منه 🧩,Vyrieš so mnou namiesto toho 🧩,Lös med mig istället 🧩,มาเล่นกับฉันแทน 🧩,حل معي بدلاً منه 🧩,Onun yerine benimle çöz 🧩,Краще розв'язуй зі мною 🧩,حل معي بدلاً منه 🧩,O'rniga men bilan yech 🧩,Chơi với tớ thay vào 🧩,Los liewer op met my 🧩,ይልቅ ከእኔ ጋር ፍታ 🧩,আমার সাথে সমাধান করো 🧩,Riješi sa mnom umjesto toga 🧩,Millor resol amb mi 🧩,Mejor resuelve conmigo 🧩,Mejor resuelve conmigo 🧩,Mejor resuelve conmigo 🧩,Résous avec moi plutôt 🧩,મારી સાથે ઉકેલો 🧩,Leystu með mér í staðinn 🧩,Оның орнына менімен шеш 🧩,មកលេងជាមួយខ្ញុំ 🧩,ಬದಲಿಗೆ ನನ್ನೊಂದಿಗೆ ಪರಿಹರಿಸಿ 🧩,ມາຫຼິ້ນກັບຂ້ອຍ 🧩,Реши со мене наместо тоа 🧩,പകരം എന്നോടൊപ്പം പരിഹരിക്കൂ 🧩,Үүний оронд надтай шийд 🧩,त्याऐवजी माझ्यासोबत सोडव 🧩,बरु मसँग हल गर 🧩,ਮੇਰੇ ਨਾਲ ਹੱਲ ਕਰ 🧩,Melhor resolver comigo 🧩,ඒ වෙනුවට මා සමඟ විසඳන්න 🧩,Reši z mano namesto tega 🧩,Реши са мном уместо тога 🧩,Tatua nami badala yake 🧩,அதற்கு பதிலாக என்னுடன் தீர் 🧩,బదులుగా నాతో సాల్వ్ చేయి 🧩,بجائے میرے ساتھ حل کرو 🧩
PUSH_EVE_TITLE_77,🌃 Peace at last!,🌃 终于平静！,🌃 Paz finalmente!,🌃 आखिर शांति!,🌃 Akhirnya damai!,🌃 Peace at last!,🌃 終於寧靜!,🌃 Покой наконец!,🌃 やっと静寂!,🌃 Endlich Ruhe!,🌃 La paix enfin !,🌃 드디어 고요!,🌃 Paz finalmente!,🌃 ¡Paz al fin!,🌃 Nəhayət sülh!,🌃 Спакой нарэшце!,🌃 Konačno mir!,🌃 Konečně klid!,🌃 Endelig fred!,🌃 سلام أخيراً!,🌃 Vihdoin rauhaa!,🌃 Επιτέλους ηρεμία!,🌃 Végre béke!,🌃 بالاخره آرامش!,🌃 סוף סוף שלום!,🌃 Pace finalmente!,🌃 سلام أخيراً!,🌃 Pagaliau ramybė!,🌃 Akhirnya damai!,🌃 سلام أخيراً!,🌃 Eindelijk rust!,🌃 Endelig fred!,🌃 سلام أخيراً!,🌃 Peace at last!,🌃 Wreszcie spokój!,🌃 Pace în sfârșit!,🌃 سلام أخيراً!,🌃 Konečne pokoj!,🌃 Äntligen ro!,🌃 ในที่สุดก็สงบ!,🌃 سلام أخيراً!,🌃 Sonunda huzur!,🌃 Спокій нарешті!,🌃 سلام أخيراً!,🌃 Nihoyat tinchlik!,🌃 Cuối cùng cũng bình!,🌃 Eindelik vrede!,🌃 በመጨረሻ ሰላም!,🌃 অবশেষে শান্তি!,🌃 Konačno mir!,🌃 Pau per fi!,🌃 ¡Paz al fin!,🌃 ¡Paz al fin!,🌃 ¡Paz al fin!,🌃 La paix enfin !,🌃 આખરે શાંતિ!,🌃 Loksins friður!,🌃 Ақыры тыныштық!,🌃 ទីបំផុតស្ងប់!,🌃 ಕೊನೆಗೂ ಶಾಂತಿ!,🌃 ໃນທີ່ສຸດກໍ່ສະຫງົບ!,🌃 Мир конечно!,🌃 ഒടുവിൽ സമാധാനം!,🌃 Эцэст нь амар тайван!,🌃 अखेर शांती!,🌃 अन्ततः शान्ति!,🌃 ਆਖਰ ਸ਼ਾਂਤੀ!,🌃 Paz finalmente!,🌃 අන්තිමට සාමය!,🌃 Končno mir!,🌃 Коначно мир!,🌃 Hatimaye amani!,🌃 இறுதியில் அமைதி!,🌃 చివరికి శాంతి!,🌃 آخرکار سکون!
PRE_ATT_GUIDE_CONTINUE,Continue,继续,Continuar,जारी रखें,Lanjut,Magpatuloy,繼續,Продолжить,つづける,Weiter,Continuer,계속하기,Continuar,Continuar,Davam et,Працягнуць,Nastavi,Pokračovat,Fortsæt,متابعة,Jatka,Συνέχεια,Folytatás,ادامه,המשך,Continua,متابعة,Tęsti,Teruskan,متابعة,Doorgaan,Fortsett,متابعة,Continue,Dalej,Continuă,متابعة,Pokračovať,Fortsätt,ต่อไป,متابعة,Devam,Далі,متابعة,Davom etish,Tiếp Tục,Gaan voort,ቀጥል,চালিয়ে যান,Nastavi,Continuar,Continuar,Continuar,Continuar,Continuer,ચાલુ રાખો,Áfram,Жалғастыру,បន្ត,ಮುಂದುವರಿಸಿ,ສືບຕໍ່,Продолжи,തുടരുക,Үргэлжлүүлэх,पुढे चला,जारी राख्नुहोस्,ਜਾਰੀ ਰੱਖੋ,Continuar,ඉදිරියට,Naprej,Настави,Endelea,தொடரவும்,కొనసాగించు,جاری رکھیں
PUSH_NOON_BODY_14,"Solve one, I'll purr 🐱",解一道，我咕噜给你听🐱,"Resolve um, eu ronrono 🐱","एक हल करो, मैं म्याऊं 🐱","Main satu, aku purr 🐱","Maglaro, magpu-purr ako 🐱","解一題,我幫你呼嚕 🐱","Реши один, я буду мурчать 🐱",1問解いて、ゴロゴロするよ 🐱,"Löse eins, ich schnurre 🐱","Résous-en un, je ronronnerai 🐱","한 문제 풀어, 골골송 해줄게 🐱","Resolve um, eu ronrono 🐱",Resuelve uno y ronroneo 🐱,"Birini həll et, mırıltlayaram 🐱","Развяжы, я мурчу 🐱","Riješi jednu, ja ću presti 🐱","Vyřeš jednu, budu příst 🐱","Løs én, jeg spinder 🐱",حل واحدة، وأنا أخرخر 🐱,"Ratkaise yksi, kehrään 🐱","Λύσε ένα, θα γουργουρίσω 🐱","Oldj meg egyet, dorombolok 🐱",یکی حل کن، خرخر می‌کنم 🐱,"פתור אחת, אני אסלסל 🐱","Risolvine uno, io faccio le fusa 🐱",حل واحدة، وأنا أخرخر 🐱,"Išspręsk vieną, murkavosiu 🐱","Main satu, saya purr 🐱",حل واحدة، وأنا أخرخر 🐱,"Los eentje op, ik spin 🐱","Løs en, jeg maler 🐱",حل واحدة، وأنا أخرخر 🐱,"Solve one, I'll purr 🐱","Rozwiąż jedną, zamruczę 🐱","Rezolvă unul, eu torc 🐱",حل واحدة، وأنا أخرخر 🐱,"Vyrieš jednu, budem priasť 🐱","Lös en, jag spinner 🐱",เล่นด่านนึง ฉันจะ purr ให้ 🐱,حل واحدة، وأنا أخرخر 🐱,"Bir tane çöz, mırlarım 🐱","Розв'яжи, я муркочу 🐱",حل واحدة، وأنا أخرخر 🐱,"Bittasini yech, men xirillab beraman 🐱","Chơi một màn, tớ kêu purr 🐱","Los een, ek spin 🐱",አንዱን ፍታ፣ አጉረመረማለሁ 🐱,"একটা সমাধান, আমি গর্জাব 🐱","Riješi jednu, ja ću presti 🐱","Resol un, jo ronco 🐱",Resuelve uno y ronroneo 🐱,Resuelve uno y ronroneo 🐱,Resuelve uno y ronroneo 🐱,"Résous-en un, je ronronnerai 🐱","એક ઉકેલ, હું ઘૂરકું 🐱","Leystu eina, ég mala 🐱","Біреуін шеш, мен дауыстаймын 🐱",លេងមួយ ខ្ញុំនឹង purr 🐱,"ಒಂದು ಪರಿಹರಿಸಿ, ನಾನು ಗುರ್ರೆನ್ನುತ್ತೇನೆ 🐱",ຫຼິ້ນດ່ານໜຶ່ງ ຂ້ອຍຈະ purr 🐱,"Реши една, јас ќе мрчам 🐱","ഒന്ന് പരിഹരിക്കൂ, ഞാൻ കുറുമ്മൽ ശബ്ദമിടാം 🐱","Нэгийг шийд, би унагаана 🐱","एक सोडव, मी गुरगुरीन 🐱","एउटा हल गर, म घुर्र गर्छु 🐱","ਇੱਕ ਹੱਲ ਕਰ, ਮੈਂ ਘੁਰਘੁਰਾਵਾਂਗੀ 🐱","Resolve um, eu ronrono 🐱","එකක් විසඳන්න, මම පුර්ර් වෙන්නම් 🐱","Reši eno, jaz bom prela 🐱","Реши једну, ја ћу да преди 🐱","Tatua moja, nitalia kwa furaha 🐱","ஒன்று தீர், நான் கொர்கர்ப்பேன் 🐱","ఒకటి సాల్వ్ చేయి, నేను పుర్ చేస్తా 🐱",ایک حل کرو، میں خرراٹے لوں گا 🐱
PUSH_EVE_TITLE_76,🐱 Night light's on!,🐱 夜灯亮着！,🐱 Luz noturna ligada!,🐱 रात की रोशनी जली!,🐱 Lampu malam menyala!,🐱 Bukas ang night light!,🐱 夜燈亮起!,🐱 Ночник горит!,🐱 ナイトライト点灯!,🐱 Nachtlicht ist an!,🐱 Veilleuse allumée !,🐱 밤 등 켜졌어!,🐱 Luz noturna ligada!,🐱 ¡Luz nocturna encendida!,🐱 Gecə işığı yanır!,🐱 Начнік гарыць!,🐱 Noćno svjetlo gori!,🐱 Noční světlo svítí!,🐱 Natlys er tændt!,🐱 ضوء الليل مشتعل!,🐱 Yövalo päällä!,🐱 Άναψε το νυχτερινό φως!,🐱 Éjszakai fény ég!,🐱 چراغ شب روشنه!,🐱 אור לילה דולק!,🐱 Luce notturna accesa!,🐱 ضوء الليل مشتعل!,🐱 Nakties žiburys įjungtas!,🐱 Lampu malam hidup!,🐱 ضوء الليل مشتعل!,🐱 Nachtlampje aan!,🐱 Nattlampen er på!,🐱 ضوء الليل مشتعل!,🐱 Night light's on!,🐱 Lampka nocna włączona!,🐱 Lumina de noapte e aprinsă!,🐱 ضوء الليل مشتعل!,🐱 Nočné svetlo svieti!,🐱 Nattlampa på!,🐱 ไฟกลางคืนเปิดแล้ว!,🐱 ضوء الليل مشتعل!,🐱 Gece lambası açık!,🐱 Нічник горить!,🐱 ضوء الليل مشتعل!,🐱 Tun chirog'i yoniq!,🐱 Đèn đêm đã bật!,🐱 Naglig is aan!,🐱 የምሽት መብራት በራ!,🐱 রাতের আলো জ্বললো!,🐱 Noćno svjetlo gori!,🐱 Llum nocturn encès!,🐱 ¡Luz nocturna encendida!,🐱 ¡Luz nocturna encendida!,🐱 ¡Luz nocturna encendida!,🐱 Veilleuse allumée !,🐱 રાતની લાઈટ સળગી!,🐱 Næturljósið kveikt!,🐱 Түн шамы жанып тұр!,🐱 ភ្លើងយប់បើក!,🐱 ರಾತ್ರಿ ಬೆಳಕು ಆನ್!,🐱 ໄຟຄືນເປີດ!,🐱 Ноќното светло е вклучено!,🐱 രാത്രി വിളക്ക് ഓൺ!,🐱 Шөнийн гэрэл асаалттай!,🐱 रात्रीचा दिवा ऑन!,🐱 रातको बत्ती बल्यो!,🐱 ਰਾਤ ਦੀ ਬੱਤੀ ਚਾਲੂ!,🐱 Luz noturna ligada!,🐱 රෑ ලයිට් පත්තු!,🐱 Nočna luč gori!,🐱 Ноћна лампа упаљена!,🐱 Taa ya usiku imewashwa!,🐱 இரவு விளக்கு ஏற்றப்பட்டது!,🐱 నైట్ లైట్ ఆన్!,🐱 نائٹ لائٹ آن!
PUSH_NOON_BODY_17,"Sip with me, solve, smile 😊",陪我喝一口，解一道，笑一笑😊,"Beba comigo, resolva, sorria 😊","चुस्की, हल, मुस्कान 😊","Seruput, main, tersenyum 😊","Sip, laro, ngiti 😊","跟我啜口茶,解題,微笑 😊","Глоток, пазл, улыбка 😊",一緒に一服、解いて、にっこり 😊,"Schlürf mit mir, löse, lächle 😊","Sirote avec moi, résous, souris 😊","같이 한 모금, 풀고, 미소 😊","Beba comigo, resolva, sorria 😊","Bebe conmigo, resuelve, sonríe 😊","Mənimlə iç, həll et, gülümsə 😊","Глыток, пазл, усмешка 😊","Srči, riješi, smiješi se 😊","Usrkávej, řeš, usmívej se 😊","Nip med mig, løs, smil 😊",ارشف معايا، حل، وابتسم 😊,"Siemaile kanssani, ratkaise, hymyile 😊","Ρούφα μαζί μου, λύσε, χαμογέλα 😊","Kortyolj velem, oldj meg, mosolyogj 😊",با من جرعه بزن، حل کن، لبخند بزن 😊,"לגום איתי, לפתור, לחייך 😊","Sorseggia con me, risolvi, sorridi 😊",ارشف معي، حل، وابتسم 😊,"Gurkšnok, spręsk, šypsokis 😊","Hirup, main, senyum 😊",ارشف معي، حل، وابتسم 😊,"Slurp met mij, los op, lach 😊","Nipp med meg, løs, smil 😊",ارشف معي، حل، وابتسم 😊,"Sip with me, solve, smile 😊","Pij, rozwiązuj, uśmiechaj się 😊","Sorbi cu mine, rezolvă, zâmbește 😊",ارشف معي، حل، وابتسم 😊,"Pi, riešte, usmievaj sa 😊","Smutta med mig, lös, le 😊",จิบกับฉัน เล่น แล้วยิ้ม 😊,ارشف معي، حل، وابتسم 😊,"Benimle yudumla, çöz, gülümse 😊","Ковток, пазл, усмішка 😊",ارشف معي، حل، وابتسم 😊,"Men bilan iching, yech, jilmay 😊","Nhâm nhi cùng tớ, chơi, cười 😊","Sluk met my, los op, glimlag 😊",አብረን ቀምስ፣ ፍታ፣ ፈገግታ 😊,"চুমুক, সমাধান, হাসি 😊","Srči, riješi, smiješi se 😊","Beu amb mi, resol, somriu 😊","Bebe conmigo, resuelve, sonríe 😊","Bebe conmigo, resuelve, sonríe 😊","Bebe conmigo, resuelve, sonríe 😊","Sirote avec moi, résous, souris 😊","ઘૂંટ, ઉકેલ, હાસ્ય 😊","Drukktu með mér, leystu, brostu 😊","Менімен жұт, шеш, күл 😊",ផឹក លេង ញញឹម 😊,"ನನ್ನೊಂದಿಗೆ ಗುಟುಕು, ಪರಿಹಾರ, ನಗು 😊","ຈິບ, ຫຼິ້ນ, ຍິ້ມ 😊","Срчи со мене, реши, насмевни се 😊","എന്നോടൊപ്പം മൊത്തി, പരിഹരിക്കൂ, ചിരിക്കൂ 😊","Надтай хамт балгаж, шийдэж, инээ 😊","माझ्यासोबत घोट, सोडव, हस 😊","मसँग चुस्की लेऊ, हल गर, मुस्कुराऊ 😊","ਮੇਰੇ ਨਾਲ ਚੁਸਕੀ ਲੈ, ਹੱਲ ਕਰ, ਮੁਸਕਰਾ 😊","Beba comigo, resolva, sorria 😊","මා සමඟ බොන්න, විසඳන්න, සිනාසෙන්න 😊","Srkaj, reši, nasmehni se 😊","Срчи са мном, реши, смеши се 😊","Kunywa nami, tatua, tabasamu 😊","என்னுடன் பருகு, தீர், புன்னகை 😊","నాతో సిప్ చేయి, సాల్వ్, నవ్వు 😊",میرے ساتھ گھونٹ بھرو، حل کرو، مسکراؤ 😊
PUSH_EVE_TITLE_75,🛋️ Cozy nest mode!,🛋️ 暖窝模式！,🛋️ Modo ninho aconchegante!,🛋️ आरामदायक घोंसला!,🛋️ Mode sarang nyaman!,🛋️ Cozy nest mode!,🛋️ 溫暖窩巢模式!,🛋️ Уютное гнездо!,🛋️ あったか巣ごもりモード!,🛋️ Kuschelnest-Modus!,🛋️ Mode nid douillet !,🛋️ 따뜻한 둥지 모드!,🛋️ Modo ninho acolhedor!,🛋️ ¡Modo nido cálido!,🛋️ Rahat yuva rejimi!,🛋️ Утульнае гняздо!,🛋️ Ugodno gnijezdo!,🛋️ Režim útulného hnízda!,🛋️ Hyggerede-tilstand!,🛋️ وضع العش الدافئ!,🛋️ Kodikas pesätila!,🛋️ Ζεστή φωλιά mode!,🛋️ Kényelmes fészek mód!,🛋️ حالت لانه گرم!,🛋️ מצב קן נעים!,🛋️ Modalità nido accogliente!,🛋️ وضع العش الدافئ!,🛋️ Jaukaus lizdo režimas!,🛋️ Mod sarang selesa!,🛋️ وضع العش الدافئ!,🛋️ Gezellige nestmodus!,🛋️ Koselig rede-modus!,🛋️ وضع العش الدافئ!,🛋️ Cozy nest mode!,🛋️ Tryb przytulnego gniazda!,🛋️ Modul cuib cozy!,🛋️ وضع العش الدافئ!,🛋️ Režim útulného hniezda!,🛋️ Mysigt boläge!,🛋️ โหมดรังอบอุ่น!,🛋️ وضع العش الدافئ!,🛋️ Sıcak yuva modu!,🛋️ Затишне гніздо!,🛋️ وضع العش الدافئ!,🛋️ Qulay uya rejimi!,🛋️ Chế độ tổ ấm!,🛋️ Gesellige nesmodus!,🛋️ ምቹ ጎጆ ሁነታ!,🛋️ আরামের বাসা!,🛋️ Udobno gnijezdo!,🛋️ Mode niu acollidor!,🛋️ ¡Modo nido cálido!,🛋️ ¡Modo nido cálido!,🛋️ ¡Modo nido cálido!,🛋️ Mode nid douillet !,🛋️ આરામદાયક માળો!,🛋️ Notalegt hreiðurham!,🛋️ Жайлы ұя режимі!,🛋️ មុខងារសំបុកកក់ក្តៅ!,🛋️ ಆರಾಮದ ಗೂಡು ಮೋಡ್!,🛋️ ໂໝດຮັງອົບອຸ່ນ!,🛋️ Пријатно гнездо!,🛋️ സുഖകരമായ കൂട് മോഡ്!,🛋️ Дулаахан үүрийн горим!,🛋️ आरामदायी घरटे मोड!,🛋️ न्यानो गुँड मोड!,🛋️ ਨਿੱਘਾ ਆਲ੍ਹਣਾ ਮੋਡ!,🛋️ Modo ninho acolhedor!,🛋️ උණුසුම් කූඩුව මාදිලිය!,🛋️ Udobno gnezdo!,🛋️ Угодно гнездо!,🛋️ Hali ya kiota chenye joto!,🛋️ வசதியான கூடு பயன்முறை!,🛋️ హాయైన గూడు మోడ్!,🛋️ آرام دہ گھونسلا موڈ!
PUSH_NOON_BODY_16,Lunch break is finally here 🎉,午休终于来啦🎉,Finalmente chegou o almoço 🎉,लंच ब्रेक आ ही गया 🎉,Akhirnya istirahat siang 🎉,"Sa wakas, lunch break na 🎉",午休終於來啦 🎉,Обед наконец-то! 🎉,やっとお昼休み 🎉,Endlich Mittagspause 🎉,Le déjeuner est enfin là 🎉,드디어 점심시간 🎉,Finalmente chegou o almoço 🎉,Por fin llegó el almuerzo 🎉,Nahar fasiləsi nəhayət gəldi 🎉,Абед нарэшце! 🎉,Pauza za ručak je konačno tu 🎉,Pauza na oběd je tu 🎉,Frokostpausen er endelig her 🎉,استراحة الغداء وصلت أخيراً 🎉,Lounastauko on vihdoin täällä 🎉,Ήρθε επιτέλους το μεσημεριανό 🎉,Végre itt az ebédszünet 🎉,وقفه ناهار بالاخره رسید 🎉,הפסקת הצהריים סוף סוף פה 🎉,Finalmente è ora di pranzo 🎉,استراحة الغداء إجت أخيراً 🎉,Pietų pertrauka pagaliau čia 🎉,Akhirnya rehat tengah hari 🎉,استراحة الغداء جات في الأخير 🎉,Lunchpauze is er eindelijk 🎉,Lunsjpausen er endelig her 🎉,استراحة الغداء جاءت أخيراً 🎉,Lunch break is finally here 🎉,Wreszcie przerwa obiadowa 🎉,În sfârșit a venit prânzul 🎉,استراحة الغداء جاءت أخيراً 🎉,Obedná pauza je tu 🎉,Äntligen lunchpaus 🎉,พักเที่ยงมาแล้วในที่สุด 🎉,استراحة الغداء جاءت أخيراً 🎉,Öğle molası sonunda geldi 🎉,Обід нарешті! 🎉,استراحة الغداء جاءت أخيراً 🎉,Tushlik tanaffusi nihoyat keldi 🎉,Cuối cùng cũng đến giờ trưa 🎉,Middagete-breuk is eindelik hier 🎉,የምሳ ዕረፍት በመጨረሻ መጣ 🎉,লাঞ্চ ব্রেক এসেই গেল 🎉,Pauza za ručak je konačno tu 🎉,Per fi ha arribat el dinar 🎉,Por fin llegó el almuerzo 🎉,Por fin llegó el almuerzo 🎉,Por fin llegó el almuerzo 🎉,Le dîner est enfin là 🎉,લંચ બ્રેક આવી જ ગયો 🎉,Hádegishléið loksins komið 🎉,Түскі үзіліс ақыры келді 🎉,ទីបំផុតពេលឈប់ថ្ងៃត្រង់ 🎉,ಊಟದ ವಿರಾಮ ಕೊನೆಗೂ ಬಂದಿದೆ 🎉,ໃນທີ່ສຸດກໍ່ເຖິງເວລາພັກ 🎉,Паузата за ручек конечно е тука 🎉,ഉച്ചഭക്ഷണ ഇടവേള ഒടുവിൽ വന്നു 🎉,Үдийн завсарлага эцэст нь ирлээ 🎉,जेवणाची सुट्टी अखेर आली 🎉,अन्ततः खाजा ब्रेक आयो 🎉,ਆਖਰ ਲੰਚ ਬ੍ਰੇਕ ਆ ਗਈ 🎉,Finalmente chegou o almoço 🎉,අන්තිමට දිවා විවේකය ආවා 🎉,Pavza za kosilo je tu 🎉,Пауза за ручак је коначно ту 🎉,Mapumziko ya chakula yamefika hatimaye 🎉,இறுதியாக மதிய உணவு இடைவேளை 🎉,చివరికి లంచ్ బ్రేక్ వచ్చింది 🎉,آخر کار لنچ بریک آ گیا 🎉
